Neo Reference ID,Name,Absolute Magnitude,Est Dia in KM(min),Orbit ID,Orbit Uncertainity,Eccentricity,Inclination,Hazardous
3703080,3703080,21.6,0.127219879,17,5,0.425549083,6.025981287,TRUE
3723955,3723955,21.3,0.146067964,21,3,0.351674305,28.41299637,FALSE
2446862,2446862,20.3,0.231502122,22,0,0.348248262,4.237961003,TRUE
3092506,3092506,27.4,0.008801465,7,6,0.216578308,7.905894348,FALSE
3514799,3514799,21.6,0.127219879,25,1,0.210447943,16.79338166,TRUE
3671135,3671135,19.6,0.319561887,40,1,0.563441073,17.92775064,FALSE
2495323,2495323,19.6,0.319561887,43,1,0.56344111,17.92774838,FALSE
2153315,2153315,19.2,0.384197891,22,0,0.449762796,34.69512745,FALSE
2162463,2162463,17.8,0.732073989,100,0,0.23817901,22.21521029,FALSE
2306383,2306383,21.5,0.133215567,30,0,0.551388807,2.059576978,TRUE
3444370,3444370,22.4,0.088014652,12,6,0.475819477,23.18568668,FALSE
3448992,3448992,25.8,0.018388867,23,4,0.204840678,13.74423321,FALSE
3611400,3611400,25,0.02658,5,6,0.326860712,8.333753552,FALSE
2162854,2162854,19.1,0.40230458,42,0,0.149357963,21.26523155,FALSE
3446396,3446396,18.8,0.46190746,26,0,0.861093331,10.02263604,FALSE
3764806,3764806,25.2,0.024241248,4,6,0.441694355,19.76759211,FALSE
3314405,3314405,20,0.2658,27,0,0.37754936,5.660561156,FALSE
3426410,3426410,21,0.167708462,16,1,0.452792293,8.27869574,FALSE
3666785,3666785,22.3,0.092162655,29,3,0.25973232,5.035044226,FALSE
3702321,3702321,22.7,0.076657557,13,4,0.151415852,5.860414923,FALSE
3719196,3719196,26.1,0.016016034,8,5,0.171432883,11.94779477,FALSE
3447920,3447920,20.6,0.201629919,42,2,0.407470352,4.061695563,FALSE
3005973,3005973,21.7,0.121494041,29,1,0.868418907,4.03507427,TRUE
3660308,3660308,23.9,0.04411182,32,3,0.398820008,3.854342069,FALSE
3348144,3348144,23.9,0.04411182,10,1,0.397381006,11.60766472,FALSE
3646046,3646046,21.3,0.146067964,13,4,0.249424883,35.2402425,TRUE
3780693,3780693,26.989,0.010635428,2,7,0.317906126,4.008314775,FALSE
2162173,2162173,19.3,0.366906138,117,0,0.190284255,5.883903318,TRUE
3092312,3092312,22.6,0.080270317,14,0,0.428252611,5.850410278,FALSE
3273782,3273782,23.8,0.046190746,34,0,0.386458786,20.83376792,FALSE
3600106,3600106,28.6,0.005064715,8,6,0.229959584,1.990548432,FALSE
3684008,3684008,21.2,0.152951935,6,6,0.437398953,24.56842188,FALSE
3751815,3751815,22.8,0.073207399,7,6,0.51390657,6.812692898,FALSE
2483656,2483656,23.8,0.046190746,41,0,0.386445067,20.83340837,FALSE
3182169,3182169,23.6,0.050647146,21,0,0.1755281,1.499707987,FALSE
2267221,2267221,19.8,0.291443905,80,0,0.659670171,1.660280613,TRUE
2382875,2382875,21.7,0.121494041,39,0,0.180694935,2.883848268,FALSE
2396793,2396793,20.1,0.253837029,27,0,0.608529113,19.76609421,FALSE
2419472,2419472,19.9,0.278326768,48,0,0.200158668,23.76674096,TRUE
3647009,3647009,27.4,0.008801465,7,7,0.221635471,7.430785915,FALSE
3713321,3713321,23.9,0.04411182,11,5,0.225484982,8.113962312,FALSE
3747315,3747315,26.9,0.011080388,5,7,0.29973327,10.27694003,FALSE
3771614,3771614,21.424,0.137960569,9,6,0.147884621,39.4070151,FALSE
2312942,2312942,17.3,0.921626549,69,0,0.776643889,9.064507174,FALSE
3170221,3170221,26.5,0.013321557,17,1,0.013948498,4.3209082,FALSE
3601408,3601408,18.8,0.46190746,36,1,0.44459978,40.07490632,FALSE
3772759,3772759,28.15,0.00623096,14,4,0.145894028,3.174319581,FALSE
3409964,3409964,20.8,0.183888672,32,2,0.296206129,7.906473496,TRUE
3562320,3562320,25.6,0.020162992,10,7,0.198610407,15.29060134,FALSE
3747992,3747992,25.4,0.022108281,17,5,0.177454625,1.867798491,FALSE
3373683,3373683,19.4,0.350392641,44,1,0.12904386,15.08972042,TRUE
3719206,3719206,21,0.167708462,9,1,0.545844028,10.42495329,FALSE
3394543,3394543,20.9,0.175612319,34,0,0.523263109,23.2772054,TRUE
2489486,2489486,19.4,0.350392641,45,1,0.129015347,15.09000476,TRUE
2356991,2356991,18.9,0.4411182,52,0,0.532484748,8.168524524,TRUE
3648769,3648769,24,0.042126461,12,3,0.247374753,7.02845027,FALSE
3773650,3773650,21.494,0.133584164,9,5,0.383885058,10.86837596,FALSE
2088959,2088959,17.4,0.880146521,42,0,0.563978044,53.82827282,FALSE
3277704,3277704,22.1,0.101054342,18,0,0.153836991,31.04245161,FALSE
3459306,3459306,21.6,0.127219879,30,0,0.476510033,5.800925368,FALSE
3562321,3562321,20.5,0.211132445,24,1,0.5265427,20.13021458,FALSE
3701883,3701883,21,0.167708462,18,2,0.53324626,7.502275136,TRUE
3728898,3728898,22.2,0.096506147,26,1,0.498869693,10.78773208,FALSE
3484042,3484042,20.6,0.201629919,8,7,0.490849799,22.13016643,FALSE
3330689,3330689,24.4,0.035039264,16,0,0.189682932,5.565071113,FALSE
3605319,3605319,18.8,0.46190746,29,2,0.591282536,28.17732241,FALSE
3694462,3694462,25.8,0.018388867,13,6,0.350066433,0.654497157,FALSE
3127399,3127399,24.3,0.036690614,12,7,0.202625296,20.00369553,FALSE
3397922,3397922,19.6,0.319561887,45,0,0.234803202,27.42819291,TRUE
3672731,3672731,26.2,0.015295194,12,6,0.119756633,6.507326871,FALSE
3463371,3463371,20.8,0.183888672,19,1,0.299153918,21.03334898,FALSE
2484402,2484402,19.6,0.319561887,72,0,0.234770561,27.42934757,TRUE
3776112,3776112,20.616,0.200149715,5,5,0.405478939,29.97955176,FALSE
2154244,2154244,17.5,0.840533402,253,0,0.548401882,3.246143241,FALSE
3363380,3363380,22,0.105816886,17,7,0.309772347,20.0186282,FALSE
